議会議事録言及カウント,鉱業、採石業、砂利採取業,製造業,食料品製造業,畜産食料品製造業,水産食料品製造業,精穀・製粉業,その他の食料品製造業,飲料・たばこ・飼料製造業,清涼飲料・酒類・茶・たばこ製造業,製糸，紡績，ねん糸等製造業,織物・ニット生地製造業,染色整理業,その他の繊維工業,織物・ニット製衣服製造業,身の回り品・その他の繊維製品製造業,木材・木製品製造業（家具を除く）,製材・合板製造業,その他の木製品製造業（家具を除く）,家具・装備品製造業,パルプ・紙・紙加工品製造業,パルプ・紙製造業,印刷・同関連業,飼料・有機質肥料製造業,繊維工業,紙加工品製造業,化学工業,化学肥料・無機化学工業製品製造業,有機化学工業製品製造業,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,医薬品製造業,その他の化学工業製品製造業,石油製品・石炭製品製造業,石油精製業,その他の石油製品・石炭製品製造業,プラスチック製品製造業,ゴム製品製造業,タイヤ・チューブ製造業,その他のゴム製品製造業,なめし革・同製品・毛皮製造業,窯業・土石製品製造業,ガラス・同製品製造業,セメント・同製品製造業,その他の窯業・土石製品製造業,鉄鋼業,銑鉄・粗鋼・鋼材製造業,鋳鍛造品・その他の鉄鋼製品製造業,非鉄金属製造業,非鉄金属製錬・精製業,非鉄金属加工品製造業,金属製品製造業,建設用・建築用金属製品製造業,その他の金属製品製造業,はん用機械器具製造業,ボイラ・原動機製造業,ポンプ・圧縮機器製造業,一般産業用機械・装置製造業,その他のはん用機械・同部品製造業,生産用機械器具製造業,金属加工機械製造業,特殊産業用機械製造業,業務用機械器具製造業,事務用・サービス用機械器具製造業,計量器・測定器・分析機器・試験機・測量機製造業,医療用機械器具・医療用品製造業,光学機械器具・レンズ製造業,武器製造業,電子部品・デバイス・電子回路製造業,電気機械器具製造業,産業用電気機械器具製造業,民生用電気機械器具製造業,電子応用装置製造業,その他の電気機械器具製造業,情報通信機械器具製造業,通信機械器具・同関連機械器具製造業,電子計算機・同附属装置製造業,輸送用機械器具製造業,自動車・同附属品製造業,その他の輸送用機械器具製造業,その他の製造業,電気・ガス業,電気業,ガス業,情報通信業,ソフトウェア業,情報処理・提供サービス業,インターネット附随サービス業,映画・ビデオ制作業（※）,新聞業,出版業,卸売業,繊維品卸売業,衣服・身の回り品卸売業,農畜産物・水産物卸売業,食料・飲料卸売業,建築材料卸売業,化学製品卸売業,石油・鉱物卸売業,鉄鋼製品卸売業,非鉄金属卸売業,再生資源卸売業,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,家具・建具・じゅう器等卸売業,医薬品・化粧品等卸売業,紙、紙製品卸売業,その他の卸売業,小売業,織物・衣服・身の回り品小売業,飲食料品小売業,自動車・自転車小売業,機械器具小売業,家具・建具・じゅう器小売業,医薬品・化粧品小売業,その他の小売業,無店舗小売業,クレジットカード業、割賦金融業,物品賃貸業,産業用機械器具賃貸業（レンタルを含む）,事務用機械器具賃貸業（レンタルを含む）,自動車賃貸業（レンタルを除く）,学術・開発研究機関,デザイン業,エンジニアリング業,広告業,機械設計業,商品・非破壊検査業,計量証明業,写真業,飲食サービス業,一般飲食店,持ち帰り・配達飲食サービス業,生活関連サービス業、娯楽業,洗濯業,その他の洗濯・理容・美容業・浴場業,冠婚葬祭業（冠婚葬祭互助会を含む）,"写真プリント,現像・焼付業",その他の生活関連サービス業,燃料小売業,その他の物品賃貸業（レンタルを含む）,学術研究、専門・技術サービス業,映画館,ゴルフ場,スポーツ施設提供業（809に該当するものを除く）,公園、遊園地・テーマパーク,個人教授所,サービス業（その他のサービス業を除く）,廃棄物処理業,機械等修理業,職業紹介業,労働者派遣業,ディスプレイ業,テレマーケティング業,その他の事業サービス業,サービス業（その他のサービス業）,その他の産業
industry_id,C,E,090,091,092,093,099,100,101,111,112,113,114,115,119,120,121,129,130,140,141,150,102,110,142,160,161,162,163,164,169,170,171,179,180,190,191,199,200,210,211,212,219,220,221,222,230,231,232,240,241,249,250,251,252,253,259,260,261,262,270,271,273,274,275,276,280,290,291,292,293,299,300,301,302,310,311,319,320,F,331,341,G,391,392,401,411,413,414,I1,511,512,521,522,531,532,533,534,535,536,541,542,543,549,551,552,553,559,I2,570,580,591,593,602,603,609,610,J1,K1,702,703,704,710,726,728,730,743,744,745,746,M,760,770,N,781,789,796,797,798,605,708,L,801,803,804,805,O,R1,880,900,911,912,927,928,929,R2,Z
1947,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1949,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1951,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1952,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1954,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2
1955,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,3,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
